object,point_#,x,y
bunker 1,1,308,860
bunker 1,2,328,858
bunker 1,3,353,862
bunker 1,4,376,861
bunker 1,5,400,859
bunker 1,6,407,870
bunker 1,7,391,876
bunker 1,8,374,878
bunker 1,9,344,878
bunker 1,10,325,876
bunker 1,11,310,875
bunker 3,1,779,858
bunker 3,2,778,901
bunker 3,3,791,884
bunker 3,4,791,871
bunker 4,1,636,641
bunker 4,2,645,642
bunker 4,3,650,652
bunker 4,4,652,661
bunker 4,5,646,665
bunker 4,6,638,669
bunker 4,7,632,661
bunker 4,8,628,649
bunker 5,1,749,489
bunker 5,2,742,476
bunker 5,3,742,463
bunker 5,4,749,454
bunker 5,5,763,449
bunker 5,6,771,458
bunker 5,7,759,463
bunker 5,8,752,472
bunker 8,1,420,707
bunker 8,2,427,712
bunker 8,3,434,712
bunker 8,4,440,708
bunker 8,5,439,701
bunker 8,6,432,700
bunker 8,7,427,703
bunker 8,8,469,716
bunker 8,9,481,709
bunker 8,10,487,704
bunker 8,11,477,700
bunker 8,12,469,703
bunker 11,1,313,351
bunker 11,2,332,351
bunker 11,3,329,362
bunker 11,4,321,369
bunker 11,5,310,367
bunker 11,6,306,358
bunker 11,7,442,128
bunker 11,8,449,128
bunker 11,9,460,137
bunker 11,10,454,141
bunker 11,11,435,138
bunker 14,1,285,171
bunker 14,2,293,156
bunker 14,3,307,151
bunker 14,4,318,151
bunker 14,5,306,163
bunker 14,6,295,170
bunker 15,1,107,175
bunker 15,2,87,180
bunker 15,3,73,175
bunker 15,4,88,160
bunker 15,5,62,185
bunker 15,6,57,202
bunker 15,7,71,213
bunker 15,8,67,200
bunker 16,1,101,378
bunker 16,2,114,379
bunker 16,3,125,387
bunker 16,4,114,394
bunker 17,1,67,403
bunker 17,2,63,412
bunker 17,3,62,427
bunker 17,4,73,438
bunker 17,5,79,428
bunker 17,6,73,416
bunker 18,1,88,624
bunker 18,2,82,634
bunker 18,3,83,653
bunker 18,4,93,661
bunker 18,5,107,662
bunker 18,6,101,649
bunker 18,7,92,632
