object,point_#,x,y
hole 14 turf wall,1,249,126
hole 14 turf wall,2,256,133
hole 14 turf wall,3,252,142
hole 14 turf wall,4,247,150
hole 14 turf wall,5,247,159
hole 14 turf wall,6,254,170
hole 14 turf wall,7,261,181
hole 14 turf wall,8,271,189
hole 14 turf wall,9,270,197
hole 14 turf wall,10,262,196
hole 14 turf wall,11,252,190
hole 14 turf wall,12,246,181
hole 14 turf wall,13,242,170
hole 14 turf wall,14,237,155
hole 14 turf wall,15,239,143
hole 14 turf wall,16,246,131
wall 2,1,290,110
wall 2,2,284,110
wall 2,3,284,104
wall 2,4,298,93
wall 2,5,314,84
wall 2,6,332,75
wall 2,7,351,71
wall 2,8,369,67
wall 2,9,387,67
wall 2,10,406,65
wall 2,11,421,65
wall 2,12,432,65
wall 2,13,442,67
wall 2,14,449,67
wall 2,15,449,75
wall 2,16,438,75
wall 2,17,427,75
wall 2,18,417,74
wall 2,19,406,74
wall 2,20,394,74
wall 2,21,382,74
wall 2,22,371,80
wall 2,23,357,84
wall 2,24,342,88
wall 2,25,327,95
wall 2,26,315,101
wall 2,27,302,103
wall 3,1,460,114
wall 3,2,470,116
wall 3,3,481,114
wall 3,4,487,108
wall 3,5,494,103
wall 3,6,494,95
wall 3,7,490,89
wall 3,8,482,94
wall 3,9,476,100
wall 3,10,468,106
