object,point_#,x,y
hole 4 turf,1,678,626
hole 4 turf,2,683,628
hole 4 turf,3,685,627
hole 4 turf,4,686,618
hole 4 turf,5,686,610
hole 4 turf,6,684,601
hole 4 turf,7,682,596
hole 4 turf,8,680,590
hole 4 turf,9,673,585
hole 4 turf,10,667,581
hole 4 turf,11,657,580
hole 4 turf,12,650,580
hole 4 turf,13,644,582
hole 4 turf,14,631,589
hole 4 turf,15,618,600
hole 4 turf,16,615,607
hole 4 turf,17,611,616
hole 4 turf,18,607,627
hole 4 turf,19,606,642
hole 4 turf,20,606,660
hole 4 turf,21,606,672
hole 4 turf,22,607,679
hole 4 turf,23,610,693
hole 4 turf,24,619,705
hole 4 turf,25,633,714
hole 4 turf,26,650,724
hole 4 turf,27,664,729
hole 4 turf,28,687,735
hole 4 turf,29,679,732
hole 4 turf,30,701,737
hole 4 turf,31,714,741
hole 4 turf,32,725,743
hole 4 turf,33,738,744
hole 4 turf,34,754,744
hole 4 turf,35,767,744
hole 4 turf,36,768,737
hole 4 turf,37,757,737
hole 4 turf,38,752,737
hole 4 turf,39,739,736
hole 4 turf,40,731,734
hole 4 turf,41,724,733
hole 4 turf,42,716,733
hole 4 turf,43,712,733
hole 4 turf,44,704,731
hole 4 turf,45,695,729
hole 4 turf,46,692,726
hole 4 turf,47,684,723
hole 4 turf,48,681,719
hole 4 turf,49,673,714
hole 4 turf,50,670,708
hole 4 turf,51,667,702
hole 4 turf,52,665,691
hole 4 turf,53,664,686
hole 4 turf,54,665,678
hole 4 turf,55,668,673
hole 4 turf,56,676,665
hole 4 turf,57,685,661
hole 4 turf,58,693,660
hole 4 turf,59,699,661
hole 4 turf,60,707,664
hole 4 turf,61,711,668
hole 4 turf,62,716,671
hole 4 turf,63,717,675
hole 4 turf,64,720,681
hole 4 turf,65,720,688
hole 4 turf,66,719,691
hole 4 turf,67,716,698
hole 4 turf,68,724,692
hole 4 turf,69,728,690
hole 4 turf,70,733,688
hole 4 turf,71,741,688
hole 4 turf,72,745,691
hole 4 turf,73,750,695
hole 4 turf,74,757,701
hole 4 turf,75,763,704
hole 4 turf,76,766,702
hole 4 turf,77,767,697
hole 4 turf,78,761,692
hole 4 turf,79,749,684
hole 4 turf,80,736,677
hole 4 turf,81,723,669
hole 4 turf,82,712,661
hole 4 turf,83,694,649
hole 4 turf,84,688,650
hole 4 turf,85,682,654
hole 4 turf,86,676,659
hole 4 turf,87,673,663
hole 4 turf,88,671,667
hole 4 turf,89,665,671
hole 4 turf,90,656,672
hole 4 turf,91,651,674
hole 4 turf,92,649,680
hole 4 turf,93,650,685
hole 4 turf,94,656,688
hole 4 turf,95,661,691
hole 4 turf,96,663,697
hole 4 turf,97,659,698
hole 4 turf,98,653,700
hole 4 turf,99,645,701
hole 4 turf,100,636,701
hole 4 turf,101,629,700
hole 4 turf,102,624,695
hole 4 turf,103,619,690
hole 4 turf,104,616,683
hole 4 turf,105,615,673
hole 4 turf,106,613,662
hole 4 turf,107,613,651
hole 4 turf,108,615,633
hole 4 turf,109,617,623
hole 4 turf,110,619,617
hole 4 turf,111,624,609
hole 4 turf,112,629,602
hole 4 turf,113,634,597
hole 4 turf,114,640,591
hole 4 turf,115,648,590
hole 4 turf,116,648,586
hole 4 turf,117,663,586
hole 4 turf,118,665,588
hole 4 turf,119,669,589
hole 4 turf,120,673,593
hole 4 turf,121,676,601
hole 4 turf,122,677,609
hole 4 turf,123,676,617
