object,point_#,x,y
wall 1,1,607,359
wall 1,2,606,351
wall 1,3,622,349
wall 1,4,635,350
wall 1,5,644,351
wall 1,6,651,354
wall 1,7,658,358
wall 1,8,654,364
wall 1,9,642,360
wall 1,10,624,359
wall 2,1,655,390
wall 2,2,656,401
wall 2,3,644,401
wall 2,4,634,401
wall 2,5,625,406
wall 2,6,618,411
wall 2,7,610,418
wall 2,8,602,420
wall 2,9,605,412
wall 2,10,610,406
wall 2,11,617,400
wall 2,12,628,395
wall 2,13,641,390
wall 3,1,575,503
wall 3,2,587,504
wall 3,3,599,506
wall 3,4,607,510
wall 3,5,616,520
wall 3,6,620,526
wall 3,7,617,534
wall 3,8,609,522
wall 3,9,601,515
wall 3,10,592,512
wall 3,11,576,511
wall 4,1,556,506
wall 4,2,557,513
wall 4,3,551,517
wall 4,4,547,522
wall 4,5,541,525
wall 4,6,537,532
wall 4,7,536,539
wall 4,8,536,543
wall 4,9,540,550
wall 4,10,547,556
wall 4,11,555,567
wall 4,12,557,573
wall 4,13,561,580
wall 4,14,568,585
wall 4,15,580,583
wall 4,16,591,576
wall 4,17,600,568
wall 4,18,606,558
wall 4,19,615,560
wall 4,20,612,567
wall 4,21,607,574
wall 4,22,594,583
wall 4,23,579,590
wall 4,24,565,593
wall 4,25,547,582
wall 4,26,532,567
wall 4,27,528,551
wall 4,28,528,534
wall 4,29,536,518
