object,point_#,x,y
turf walls hole 2,1,539,850
turf walls hole 2,2,546,844
turf walls hole 2,3,531,824
turf walls hole 2,4,535,811
turf walls hole 2,5,546,806
turf walls hole 2,6,570,783
turf walls hole 2,7,586,773
turf walls hole 2,8,600,767
turf walls hole 2,9,614,760
turf walls hole 2,10,628,759
turf walls hole 2,11,650,760
turf walls hole 2,12,670,767
turf walls hole 2,13,684,771
turf walls hole 2,14,696,783
turf walls hole 2,15,711,797
turf walls hole 2,16,723,813
turf walls hole 2,17,733,834
turf walls hole 2,18,739,848
turf walls hole 2,19,739,858
turf walls hole 2,20,736,868
turf walls hole 2,21,726,875
turf walls hole 2,22,710,876
turf walls hole 2,23,710,885
turf walls hole 2,24,726,884
turf walls hole 2,25,739,877
turf walls hole 2,26,749,864
turf walls hole 2,27,749,851
turf walls hole 2,28,744,835
turf walls hole 2,29,738,818
turf walls hole 2,30,723,795
turf walls hole 2,31,704,775
turf walls hole 2,32,678,759
turf walls hole 2,33,652,749
turf walls hole 2,34,640,748
turf walls hole 2,35,619,750
turf walls hole 2,36,605,753
turf walls hole 2,37,595,758
turf walls hole 2,38,581,764
turf walls hole 2,39,567,773
turf walls hole 2,40,557,783
turf walls hole 2,41,545,792
turf walls hole 2,42,534,800
turf walls hole 2,43,526,811
turf walls hole 2,44,522,825
turf walls hole 2,45,531,841
turf walls hole 2,46,589,783
turf walls hole 2,47,591,792
turf walls hole 2,48,604,786
turf walls hole 2,49,622,785
turf walls hole 2,50,639,785
turf walls hole 2,51,650,786
turf walls hole 2,52,664,792
turf walls hole 2,53,673,796
turf walls hole 2,54,688,807
turf walls hole 2,55,696,806
turf walls hole 2,56,691,798
turf walls hole 2,57,679,788
turf walls hole 2,58,666,776
turf walls hole 2,59,655,773
turf walls hole 2,60,644,772
turf walls hole 2,61,634,771
turf walls hole 2,62,622,772
turf walls hole 2,63,610,776
turf walls hole 2,64,599,779
turf walls hole 2,65,585,800
turf walls hole 2,66,585,809
turf walls hole 2,67,607,808
turf walls hole 2,68,615,814
turf walls hole 2,69,622,814
turf walls hole 2,70,637,824
turf walls hole 2,71,653,825
turf walls hole 2,72,671,826
turf walls hole 2,73,686,832
turf walls hole 2,74,694,835
turf walls hole 2,75,694,828
turf walls hole 2,76,682,815
turf walls hole 2,77,669,805
turf walls hole 2,78,651,797
turf walls hole 2,79,632,794
turf walls hole 2,80,618,794
turf walls hole 2,81,608,797
turf walls hole 2,82,592,800
turf walls hole 2,83,590,816
turf walls hole 2,84,591,826
turf walls hole 2,85,605,830
turf walls hole 2,86,615,836
turf walls hole 2,87,623,844
turf walls hole 2,88,630,848
turf walls hole 2,89,636,850
turf walls hole 2,90,646,850
turf walls hole 2,91,657,851
turf walls hole 2,92,670,852
turf walls hole 2,93,679,851
turf walls hole 2,94,678,845
turf walls hole 2,95,664,840
turf walls hole 2,96,647,839
turf walls hole 2,97,634,834
turf walls hole 2,98,621,827
turf walls hole 2,99,608,820
turf walls hole 2,100,597,819
turf walls hole 2,101,570,833
turf walls hole 2,102,570,839
turf walls hole 2,103,583,841
turf walls hole 2,104,598,851
turf walls hole 2,105,611,866
turf walls hole 2,106,622,872
turf walls hole 2,107,633,878
turf walls hole 2,108,646,880
turf walls hole 2,109,663,882
turf walls hole 2,110,676,881
turf walls hole 2,111,673,874
turf walls hole 2,112,661,873
turf walls hole 2,113,648,870
turf walls hole 2,114,633,863
turf walls hole 2,115,621,857
turf walls hole 2,116,608,845
turf walls hole 2,117,598,839
turf walls hole 2,118,586,834
