object,point_#,x,y
sand 1,1,416,41
sand 1,2,458,43
sand 1,3,487,53
sand 1,4,501,63
sand 1,5,516,76
sand 1,6,522,93
sand 1,7,525,121
sand 1,8,555,105
sand 1,9,576,106
sand 1,10,593,113
sand 1,11,610,132
sand 1,12,617,141
sand 1,13,628,132
sand 1,14,641,116
sand 1,15,648,99
sand 1,16,649,79
sand 1,17,649,56
sand 1,18,643,44
sand 1,19,614,43
sand 1,20,589,40
sand 1,21,570,39
sand 1,22,540,39
sand 1,23,521,39
sand 1,24,504,39
sand 1,25,477,37
2,1,128,684
2,2,121,721
2,3,120,750
2,4,114,790
2,5,114,822
2,6,115,839
2,7,123,848
2,8,151,847
2,9,179,847
2,10,197,830
2,11,212,800
2,12,221,777
2,13,236,761
2,14,240,745
2,15,216,736
2,16,197,717
2,17,180,704
2,18,166,699
2,19,145,681
2,20,26,766
2,21,31,771
2,22,44,785
2,23,53,795
2,24,66,807
2,25,77,824
2,26,83,848
2,27,87,860
2,28,87,881
2,29,86,908
2,30,86,926
2,31,68,929
2,32,44,929
2,33,22,930
2,34,3,930
2,35,4,917
2,36,26,915
2,37,29,895
2,38,29,871
2,39,28,850
2,40,29,825
2,41,29,804
2,42,29,788
concrete,1,92,924
concrete,2,93,912
concrete,3,93,893
concrete,4,100,860
concrete,5,118,854
concrete,6,145,854
concrete,7,173,847
concrete,8,197,854
concrete,9,208,859
concrete,10,215,866
concrete,11,220,885
concrete,12,220,901
concrete,13,220,931
concrete,14,220,955
concrete,15,207,962
concrete,16,174,964
concrete,17,143,964
concrete,18,112,964
concrete,19,85,964
concrete,20,64,966
concrete,21,37,966
concrete,22,11,967
concrete,23,8,951
concrete,24,8,943
concrete,25,21,935
concrete,26,42,933
concrete,27,66,931
concrete,28,84,931
