object,point_#,x,y
crates,1,42,871
crates,2,73,871
crates,3,73,912
crates,4,41,913
crates,5,143,698
crates,6,123,728
crates,7,157,750
crates,8,178,725
crates,9,195,731
crates,10,180,759
crates,11,212,781
crates,12,230,752
crates,13,528,39
crates,14,528,70
crates,15,567,72
crates,16,567,41
crates,17,590,82
crates,18,620,67
crates,19,640,101
crates,20,613,117
gazebo,1,268,519
gazebo,2,367,463
gazebo,3,462,516
gazebo,4,464,634
gazebo,5,371,690
gazebo,6,265,636
umbrella,1,722,66
umbrella,2,802,71
umbrella,3,759,124
bridge,1,406,250
bridge,2,437,234
bridge,3,463,280
bridge,4,431,292
bridge,5,645,279
bridge,6,672,269
bridge,7,667,327
bridge,8,697,315
wave,1,636,159
wave,2,786,157
wave,3,786,215
wave,4,644,215
wave,5,60,345
wave,6,100,613
wave,7,288,748
wave,8,595,701
wave,9,698,447
wave,10,494,184
bollard,1,56,345
bollard,2,100,613
bollard,3,286,751
bollard,4,593,698
bollard,5,699,447
bollard,6,494,183
floodlight,1,227,824
floodlight,2,761,858
floodlight,3,748,299
floodlight,4,96,199
